gr,recn,yearStart,yearEnd
TQ38,9,2022,2022
TQ27,13,2000,2023
TQ28,7,2014,2018
TQ18,13,2019,2023
TQ29,7,2010,2023
TQ17,1,2023,2023
TQ16,1,2017,2017
