gr,recn,yearStart,yearEnd
TQ17,3,2019,2023
TQ28,33,2013,2023
TQ27,14,2007,2023
TQ18,14,2015,2023
TQ29,18,2010,2023
TQ16,2,2017,2018
TQ19,5,2013,2021
TQ38,5,2015,2023
TQ08,2,2022,2022
TQ39,5,2022,2023
