gr,recn,yearStart,yearEnd
TQ17,2,2007,2018
TQ39,4,2022,2023
TQ27,3,2008,2023
TQ18,3,2023,2023
TQ29,1,2022,2022
TQ19,1,2021,2021
TQ09,1,2022,2022
