gr,recn,yearStart,yearEnd
TQ18NE,1,2022,2022
TQ27NE,2,2016,2019
TQ18SE,2,2016,2023
TQ29SE,1,2019,2019
TQ28NE,3,2017,2022
TQ27NW,1,2023,2023
