gr,recn,yearStart,yearEnd
TQ29SE,32,2010,2023
TQ27NE,13,2007,2021
TQ28SE,4,2018,2021
TQ18NE,6,2021,2022
TQ17SW,2,2017,2023
TQ38NW,2,2016,2022
TQ28NE,17,2013,2022
TQ16NW,3,2018,2022
TQ39SE,2,2012,2022
TQ16NE,1,2022,2022
TQ18SE,5,2023,2023
TQ18NW,3,2021,2022
TQ29NE,1,2022,2022
TQ29SW,1,2023,2023
TQ38SW,1,2022,2022
TQ39NW,1,2023,2023
