gr,recn,yearStart,yearEnd
TQ28NE,10,2014,2023
TQ29SE,18,2010,2023
TQ38SE,1,2022,2022
TQ17SW,2,2018,2023
TQ19SE,2,2013,2014
TQ18NE,3,2021,2022
TQ27NW,2,2023,2023
TQ18SE,2,2016,2023
TQ27NE,8,2007,2021
TQ28SE,2,2014,2021
TQ38SW,1,2022,2022
