taxon,period,count
taxon,2018,4
taxon,2023,12
taxon,2022,8
taxon,2014,4
taxon,2013,1
taxon,2021,7
taxon,2010,2
taxon,2019,2
taxon,2016,4
taxon,2017,5
taxon,2007,1
taxon,2020,1
