taxon,period,count
taxon,2019,6
taxon,2018,5
taxon,2007,1
taxon,2022,22
taxon,2023,27
taxon,2014,6
taxon,2020,1
taxon,2017,8
taxon,2021,6
taxon,2016,4
taxon,2010,2
taxon,2013,5
taxon,2015,2
taxon,2008,6
