taxon,period,count
taxon,2022,47
taxon,2016,5
taxon,2019,6
taxon,2023,22
taxon,2014,6
taxon,2021,21
taxon,2017,3
taxon,2020,2
taxon,2010,2
taxon,2018,6
taxon,2011,1
taxon,2012,2
taxon,2008,2
taxon,2007,1
