taxonId,taxon
anarta_myrtilli,Anarta myrtilli
anarta_trifolii,Anarta trifolii
anchoscelis_helvola,Anchoscelis helvola
anchoscelis_litura,Anchoscelis litura
anchoscelis_lunosa,Anchoscelis lunosa
ancylis_achatana,Ancylis achatana
ancylis_apicella,Ancylis apicella
ancylis_badiana,Ancylis badiana
ancylis_diminutana,Ancylis diminutana
ancylis_geminana,Ancylis geminana
ancylis_laetana,Ancylis laetana
ancylis_mitterbacheriana,Ancylis mitterbacheriana
ancylis_myrtillana,Ancylis myrtillana
ancylis_uncella,Ancylis uncella
ancylis_unguicella,Ancylis unguicella
anerastia_lotella,Anerastia lotella
anorthoa_munda,Anorthoa munda
anthophila_fabriciana,Anthophila fabriciana
anticlea_derivata,Anticlea derivata
antispila_metallella,Antispila metallella
antitype_chi,Antitype chi
apamea_anceps,Apamea anceps
apamea_crenata,Apamea crenata
apamea_crenata_ab__combusta,Apamea crenata ab. combusta
apamea_epomidion,Apamea epomidion
apamea_exulis,Apamea exulis
apamea_exulis_subsp__assimilis,Apamea exulis subsp. assimilis
apamea_furva,Apamea furva
apamea_furva_britannica,Apamea furva britannica
apamea_furva_subsp__britannica,Apamea furva subsp. britannica
apamea_lithoxylaea,Apamea lithoxylaea
apamea_monoglypha,Apamea monoglypha
apamea_oblonga,Apamea oblonga
apamea_remissa,Apamea remissa
apamea_scolopacina,Apamea scolopacina
apamea_sordens,Apamea sordens
apamea_sublustris,Apamea sublustris
apamea_unanimis,Apamea unanimis
apeira_syringaria,Apeira syringaria
aphelia_viburnana,Aphelia viburnana
aphomia_sociella,Aphomia sociella
aplocera_efformata,Aplocera efformata
aplocera_plagiata,Aplocera plagiata
aplocera_plagiata_plagiata,Aplocera plagiata plagiata
apocheima_hispidaria,Apocheima hispidaria
apodia_bifractella,Apodia bifractella
apomyelois_bistriatella,Apomyelois bistriatella
apomyelois_bistriatella_subsp__neophanes,Apomyelois bistriatella subsp. neophanes
aporophyla,Aporophyla
aporophyla_lueneburgensis,Aporophyla lueneburgensis
aporophyla_lutulenta,Aporophyla lutulenta
aporophyla_nigra,Aporophyla nigra
apotomis_betuletana,Apotomis betuletana
apotomis_capreana,Apotomis capreana
apotomis_lineana,Apotomis lineana
apotomis_sauciana,Apotomis sauciana
apotomis_semifasciana,Apotomis semifasciana
apotomis_sororculana,Apotomis sororculana
apotomis_turbidana,Apotomis turbidana
aproaerema_anthyllidella,Aproaerema anthyllidella
aproaerema_cinctella,Aproaerema cinctella
aproaerema_sangiella,Aproaerema sangiella
aproaerema_taeniolella,Aproaerema taeniolella
apterogenum_ypsillon,Apterogenum ypsillon
archanara_dissoluta,Archanara dissoluta
archiearis_parthenias,Archiearis parthenias
archips_podana,Archips podana
archips_rosana,Archips rosana
archips_xylosteana,Archips xylosteana
arctia_caja,Arctia caja
arctiinae,Arctiinae
arenostola_phragmitidis,Arenostola phragmitidis
argyresthia,Argyresthia
argyresthia__blastotere_,Argyresthia (Blastotere)
argyresthia_albistria,Argyresthia albistria
argyresthia_arceuthina,Argyresthia arceuthina
argyresthia_aurulentella,Argyresthia aurulentella
argyresthia_bonnetella,Argyresthia bonnetella
argyresthia_brockeella,Argyresthia brockeella
argyresthia_conjugella,Argyresthia conjugella
argyresthia_conjugella_form_aerariella,Argyresthia conjugella form aerariella
argyresthia_cupressella,Argyresthia cupressella
argyresthia_curvella,Argyresthia curvella
argyresthia_dilectella,Argyresthia dilectella
argyresthia_glabratella,Argyresthia glabratella
argyresthia_glaucinella,Argyresthia glaucinella
argyresthia_goedartella,Argyresthia goedartella
argyresthia_ivella,Argyresthia ivella
argyresthia_laevigatella,Argyresthia laevigatella
argyresthia_pruniella,Argyresthia pruniella
argyresthia_pygmaeella,Argyresthia pygmaeella
argyresthia_retinella,Argyresthia retinella
argyresthia_semifusca,Argyresthia semifusca
argyresthia_semitestacella,Argyresthia semitestacella
argyresthia_sorbiella,Argyresthia sorbiella
argyresthia_spinosella,Argyresthia spinosella
argyresthia_trifasciata,Argyresthia trifasciata
argyrotaenia_ljungiana,Argyrotaenia ljungiana
aristotelia_ericinella,Aristotelia ericinella
aroga_velocella,Aroga velocella
aspilapteryx_tringipennella,Aspilapteryx tringipennella
asteroscopus_sphinx,Asteroscopus sphinx
asthena_albulata,Asthena albulata
atethmia_centrago,Atethmia centrago
athetis_pallustris,Athetis pallustris
athrips_mouffetella,Athrips mouffetella
atolmis_rubricollis,Atolmis rubricollis
autographa_bractea,Autographa bractea
autographa_gamma,Autographa gamma
autographa_jota,Autographa jota
autographa_pulchrina,Autographa pulchrina
axylia_putris,Axylia putris
bactra,Bactra
bactra_furfurana,Bactra furfurana
bactra_lacteana,Bactra lacteana
bactra_lancealana,Bactra lancealana
bactra_robustana,Bactra robustana
batrachedra_pinicolella,Batrachedra pinicolella
batrachedra_praeangusta,Batrachedra praeangusta
bedellia_somnulentella,Bedellia somnulentella
bena_bicolorana,Bena bicolorana
biston_betularia,Biston betularia
biston_betularia_form_carbonaria,Biston betularia form carbonaria
biston_betularia_form_insularia,Biston betularia form insularia
biston_betularia_form_typica,Biston betularia form typica
biston_strataria,Biston strataria
blastobasis,Blastobasis
blastobasis_adustella,Blastobasis adustella
blastobasis_lacticolella,Blastobasis lacticolella
blastodacna_hellerella,Blastodacna hellerella
bohemannia_pulverosella,Bohemannia pulverosella
bohemannia_quadrimaculella,Bohemannia quadrimaculella
borkhausenia_fuscescens,Borkhausenia fuscescens
brachmia_blandella,Brachmia blandella
brachylomia_viminalis,Brachylomia viminalis
bryophila_domestica,Bryophila domestica
bryotropha,Bryotropha
bryotropha_affinis,Bryotropha affinis
bryotropha_boreella,Bryotropha boreella
bryotropha_desertella,Bryotropha desertella
bryotropha_domestica,Bryotropha domestica
bryotropha_galbanella,Bryotropha galbanella
bryotropha_politella,Bryotropha politella
bryotropha_senectella,Bryotropha senectella
bryotropha_similis,Bryotropha similis
bryotropha_terrella,Bryotropha terrella
bryotropha_umbrosella,Bryotropha umbrosella
bucculatrix_bechsteinella,Bucculatrix bechsteinella
bucculatrix_cidarella,Bucculatrix cidarella
bucculatrix_cristatella,Bucculatrix cristatella
bucculatrix_demaryella,Bucculatrix demaryella
bucculatrix_frangutella,Bucculatrix frangutella
bucculatrix_maritima,Bucculatrix maritima
bucculatrix_nigricomella,Bucculatrix nigricomella
bucculatrix_thoracella,Bucculatrix thoracella
bucculatrix_ulmella,Bucculatrix ulmella
bupalus_piniaria,Bupalus piniaria
cabera_exanthemata,Cabera exanthemata
cabera_pusaria,Cabera pusaria
cacoecimorpha_pronubana,Cacoecimorpha pronubana
calamotropha_paludella,Calamotropha paludella
callimorpha_dominula,Callimorpha dominula
callistege,Callistege
callistege_mi,Callistege mi
callisto_denticulella,Callisto denticulella
calliteara_pudibunda,Calliteara pudibunda
caloptilia,Caloptilia
caloptilia_alchimiella,Caloptilia alchimiella
caloptilia_azaleella,Caloptilia azaleella
caloptilia_betulicola,Caloptilia betulicola
caloptilia_cuculipennella,Caloptilia cuculipennella
