taxon,period,count
taxon,17,8
taxon,5,7
taxon,18,4
taxon,1,4
taxon,13,7
taxon,25,4
taxon,22,9
taxon,14,7
taxon,15,6
taxon,20,2
taxon,12,2
taxon,34,1
taxon,23,2
taxon,10,4
taxon,16,4
taxon,21,9
taxon,6,2
taxon,9,1
taxon,47,5
taxon,19,8
taxon,2,3
taxon,46,6
taxon,8,2
taxon,43,1
taxon,3,7
taxon,48,1
taxon,52,3
taxon,7,3
taxon,24,1
taxon,49,1
taxon,27,1
taxon,4,1
taxon,45,1
taxon,36,1
taxon,51,1
