taxon,period,count
taxon,19,1
taxon,21,2
taxon,36,4
taxon,16,1
taxon,3,2
taxon,46,2
taxon,1,1
taxon,5,1
taxon,12,2
taxon,4,1
taxon,47,1
taxon,18,1
