taxon,period,count
taxon,35,3
taxon,12,2
taxon,18,3
taxon,36,10
taxon,22,2
taxon,25,2
taxon,20,5
taxon,19,8
taxon,34,2
taxon,16,2
taxon,24,2
taxon,49,3
taxon,46,2
taxon,14,4
taxon,21,2
taxon,17,5
taxon,23,8
taxon,47,3
taxon,8,1
taxon,6,2
taxon,5,3
taxon,3,1
taxon,9,1
taxon,26,2
taxon,44,2
taxon,1,2
taxon,40,1
taxon,41,1
taxon,27,3
taxon,29,3
taxon,42,1
taxon,37,2
taxon,4,3
taxon,48,1
taxon,10,1
taxon,7,1
taxon,51,1
taxon,13,1
