taxon,period,count
taxon,1,1
taxon,12,1
taxon,5,1
taxon,11,1
taxon,17,2
taxon,26,1
taxon,35,1
taxon,21,2
taxon,52,1
taxon,7,2
taxon,25,1
taxon,23,3
taxon,14,1
taxon,40,1
taxon,16,2
taxon,19,1
taxon,48,1
taxon,36,1
taxon,18,1
