taxon,period,count
taxon,21,1
taxon,18,3
taxon,49,2
taxon,19,1
taxon,20,1
taxon,42,1
taxon,2,1
taxon,1,2
taxon,10,1
taxon,47,2
taxon,3,2
taxon,36,2
taxon,46,1
taxon,43,1
taxon,8,1
taxon,14,1
taxon,15,1
taxon,12,1
taxon,48,2
taxon,41,1
taxon,17,1
taxon,25,1
