taxon,period,count
taxon,9,6
taxon,35,3
taxon,47,5
taxon,42,1
taxon,13,7
taxon,34,3
taxon,17,5
taxon,1,2
taxon,48,4
taxon,26,2
taxon,38,1
taxon,3,7
taxon,18,4
taxon,36,7
taxon,15,5
taxon,39,3
taxon,37,1
taxon,2,5
taxon,43,6
taxon,4,3
taxon,46,4
taxon,45,2
taxon,22,3
taxon,21,8
taxon,19,3
taxon,20,1
taxon,29,1
taxon,30,2
taxon,14,1
taxon,12,2
taxon,52,4
taxon,11,1
taxon,49,2
taxon,23,3
taxon,5,5
taxon,7,1
taxon,51,2
taxon,16,1
